Tarih,TP_DK_JPY_A_YTL
13-02-2023,14.3428
14-02-2023,14.1734
15-02-2023,14.2153
16-02-2023,14.0816
17-02-2023,14.0348
20-02-2023,13.9315
21-02-2023,14.0164
22-02-2023,13.9678
23-02-2023,13.9471
24-02-2023,13.9448
27-02-2023,13.928
28-02-2023,13.8061
01-03-2023,13.7694
02-03-2023,13.8551
03-03-2023,13.7778
06-03-2023,13.8036
07-03-2023,13.8569
08-03-2023,13.8698
09-03-2023,13.7223
10-03-2023,13.8432
13-03-2023,13.8184
14-03-2023,14.1274
15-03-2023,14.1161
16-03-2023,14.0859
17-03-2023,14.247
20-03-2023,14.2348
21-03-2023,14.4518
22-03-2023,14.3521
23-03-2023,14.3056
24-03-2023,14.4744
27-03-2023,14.6011
28-03-2023,14.4896
29-03-2023,14.5348
30-03-2023,14.4468
31-03-2023,14.41
03-04-2023,14.3356
04-04-2023,14.3476
05-04-2023,14.4184
06-04-2023,14.5831
07-04-2023,14.6031
10-04-2023,14.5639
11-04-2023,14.5019
12-04-2023,14.4272
13-04-2023,14.3856
14-04-2023,14.4616
17-04-2023,14.5622
18-04-2023,14.4108
19-04-2023,14.4108
20-04-2023,14.3476
24-04-2023,14.3476
25-04-2023,14.3898
26-04-2023,14.423
27-04-2023,14.494
28-04-2023,14.4812
02-05-2023,14.2613
03-05-2023,14.1066
04-05-2023,14.303
05-05-2023,14.4346
08-05-2023,14.4821
09-05-2023,14.3974
10-05-2023,14.4153
11-05-2023,14.391
12-05-2023,14.4909
15-05-2023,14.4804
16-05-2023,14.3951
17-05-2023,14.4549
18-05-2023,14.3726
22-05-2023,14.3112
23-05-2023,14.3232
24-05-2023,14.2898
25-05-2023,14.2994
26-05-2023,14.2295
29-05-2023,14.2499
30-05-2023,14.2504
31-05-2023,14.4588
01-06-2023,14.7451
02-06-2023,14.8212
05-06-2023,14.9733
06-06-2023,15.0352
07-06-2023,15.3584
08-06-2023,16.4808
09-06-2023,16.6436
12-06-2023,16.7524
13-06-2023,16.9053
14-06-2023,16.8998
15-06-2023,16.8167
16-06-2023,16.6994
19-06-2023,16.7236
20-06-2023,16.6225
21-06-2023,16.6082
22-06-2023,16.5508
23-06-2023,16.6003
26-06-2023,17.5925
27-06-2023,17.9852
03-07-2023,17.9852
04-07-2023,17.9405
05-07-2023,17.9614
06-07-2023,17.9932
07-07-2023,18.0555
10-07-2023,18.1381
11-07-2023,18.2594
12-07-2023,18.5146
13-07-2023,18.6645
14-07-2023,18.8203
17-07-2023,18.8418
18-07-2023,18.9178
19-07-2023,19.3539
20-07-2023,19.2065
21-07-2023,19.2251
24-07-2023,18.9666
25-07-2023,19.007
26-07-2023,18.9962
27-07-2023,19.1247
28-07-2023,19.1807
31-07-2023,19.2755
01-08-2023,18.89
02-08-2023,18.8235
03-08-2023,18.8412
04-08-2023,18.7966
07-08-2023,18.8439
08-08-2023,18.9104
09-08-2023,18.8106
10-08-2023,18.7908
11-08-2023,18.724
14-08-2023,18.6304
15-08-2023,18.5954
16-08-2023,18.5103
17-08-2023,18.5259
18-08-2023,18.478
21-08-2023,18.5602
22-08-2023,18.5759
23-08-2023,18.5988
24-08-2023,18.636
25-08-2023,18.5928
28-08-2023,18.0396
29-08-2023,18.062
31-08-2023,18.0796
01-09-2023,18.2297
04-09-2023,18.3018
05-09-2023,18.2227
06-09-2023,18.1477
07-09-2023,18.1218
08-09-2023,18.1371
11-09-2023,18.1487
12-09-2023,18.2788
13-09-2023,18.2456
14-09-2023,18.2168
15-09-2023,18.2244
18-09-2023,18.1783
19-09-2023,18.23
20-09-2023,18.2311
21-09-2023,18.1951
22-09-2023,18.1887
25-09-2023,18.2344
26-09-2023,18.249
27-09-2023,18.2264
28-09-2023,18.2389
29-09-2023,18.2883
02-10-2023,18.3267
03-10-2023,18.259
04-10-2023,18.2758
05-10-2023,18.4288
06-10-2023,18.4392
09-10-2023,18.4525
10-10-2023,18.4976
11-10-2023,18.5409
12-10-2023,18.5686
13-10-2023,18.5353
16-10-2023,18.4926
17-10-2023,18.5699
18-10-2023,18.5853
19-10-2023,18.6332
20-10-2023,18.6204
23-10-2023,18.6082
24-10-2023,18.6358
25-10-2023,18.7063
26-10-2023,18.6858
27-10-2023,18.6412
30-10-2023,18.6933
31-10-2023,18.8064
01-11-2023,18.7169
02-11-2023,18.6522
03-11-2023,18.7792
06-11-2023,18.8162
07-11-2023,18.9281
08-11-2023,18.861
09-11-2023,18.8478
10-11-2023,18.8117
13-11-2023,18.7678
14-11-2023,18.7632
15-11-2023,18.7961
16-11-2023,18.9687
17-11-2023,18.8936
20-11-2023,19.0756
21-11-2023,19.2733
22-11-2023,19.4267
23-11-2023,19.2568
24-11-2023,19.2455
27-11-2023,19.2217
28-11-2023,19.3118
29-11-2023,19.392
30-11-2023,19.5238
01-12-2023,19.5166
04-12-2023,19.443
05-12-2023,19.6191
06-12-2023,19.5942
07-12-2023,19.566
08-12-2023,19.8158
